sasdate,date_key,word_date,date,year,quarter,month,day_of_month,week,day_of_week,weekday,month_and_year,holiday,timezone_id,timezone,timezone_offset
21915,10120,1-Jan-20,1/1/2020,2020,1,1,1,0,Wed,4,Jan-60,NEWYEAR,ETC/GMT+7,GMT-07:00,-25200
21916,10220,2-Jan-20,1/2/2020,2020,1,1,2,0,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21917,10320,3-Jan-20,1/3/2020,2020,1,1,3,0,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21918,10420,4-Jan-20,1/4/2020,2020,1,1,4,0,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21919,10520,5-Jan-20,1/5/2020,2020,1,1,5,1,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21920,10620,6-Jan-20,1/6/2020,2020,1,1,6,1,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21921,10720,7-Jan-20,1/7/2020,2020,1,1,7,1,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21922,10820,8-Jan-20,1/8/2020,2020,1,1,8,1,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21923,10920,9-Jan-20,1/9/2020,2020,1,1,9,1,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21924,11020,10-Jan-20,1/10/2020,2020,1,1,10,1,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21925,11120,11-Jan-20,1/11/2020,2020,1,1,11,1,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21926,11220,12-Jan-20,1/12/2020,2020,1,1,12,2,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21927,11320,13-Jan-20,1/13/2020,2020,1,1,13,2,Mon,2,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21928,11420,14-Jan-20,1/14/2020,2020,1,1,14,2,Tue,3,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21929,11520,15-Jan-20,1/15/2020,2020,1,1,15,2,Wed,4,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21930,11620,16-Jan-20,1/16/2020,2020,1,1,16,2,Thu,5,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21931,11720,17-Jan-20,1/17/2020,2020,1,1,17,2,Fri,6,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21932,11820,18-Jan-20,1/18/2020,2020,1,1,18,2,Sat,7,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
21933,11920,19-Jan-20,1/19/2020,2020,1,1,19,3,Sun,1,Jan-60,,ETC/GMT+7,GMT-07:00,-25200
